age,phone_brand,watch_owner,watch_brand,purchase_year,spent_watch,OS_pair,watch_satisfaction,frequency_wear,churn_reasons,intention_buy,intention_when,intention_price,important_reachable,important_fitnesstrack,important_voicecommands,important_sleep,important_emergency,important_payment,important_smartdevices,important_productive,important_phone_disconnect,important_fashionable,important_navigation,interested_apple,interested_samsung,interested_google,interested_amazon,interested_fitbit,interested_fossil,digital_fluency,innovators,vigorous_activities,strength_training,moderate_activities,light_activities,meditation,outdoor_activities,goal_active_lifestyle,goal_optimize_fitness,goal_mindfulness,goal_health,goals_juggling,transport_walk,transport_cycle,transport_drive,transport_train,transport_bus,transport_taxi,phone_navigate,situation1,situation2
35 - 44,Apple iPhone,Yes,Sense,2020,ÃÂ£149 or less,iOS,Somewhat satisfied,Daily,lack of customization,Strongly Considering,In 4 to 6 months,Â£149 or less,Very important,Very important,Slightly important,Very important,Moderately important,Very important,Moderately important,Moderately important,Very important,Very important,Slightly important,Extremely interested,Slightly interested,Very interested,Not interested at all,Very interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Among the first people,At least once a week,Several times a month,Daily,Daily,Less often than once a month,Less often than once a month,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Everyday,Not at all,Rarely,A few times a week,Rarely,Rarely,Not at all,Living with significant other,Living with children
35 - 44,Google Pixel,Yes,Fitbit,2021,ÃÂ£149 or less,Android,Somewhat satisfied,Daily,comfort and design,Slightly Considering,In 7 to 12 months,Â£200 - Â£249,Very important,Very important,Not at all important,Extremely Important,Not at all important,Extremely Important,Extremely Important,Very important,Not at all important,Not at all important,Not at all important,Not interested at all,Somewhat interested,Extremely interested,Somewhat interested,Extremely interested,Somewhat interested,I give others advice when they are looking to buy technology or electronics products,Once many people are using it,Never,Never,Daily,Daily,Never,Never,Neutral,Neutral,Strongly disagree,Neutral,Strongly disagree,Everyday,Not at all,Not at all,A few times a week,Rarely,Rarely,A few times a week,Living with significant other,NULL
25 - 34,Apple iPhone,Yes,Mi,2019,ÃÂ£149 or less,iOS,Somewhat satisfied,Daily,negative reviews,Slightly Considering,In 1 to 2 years,Â£149 or less,Not at all important,Very important,Slightly important,Very important,Slightly important,Very important,Slightly important,Not at all important,Very important,Slightly important,Slightly important,Extremely interested,Extremely interested,Extremely interested,Slightly interested,Extremely interested,Extremely interested,I give others advice when they are looking to buy technology or electronics products,Once many people are using it,Several times a week,Less often than once a month,Several times a week,Several times a week,Less often than once a month,Less often than once a month,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,A few times a week,Not at all,A few times a week,A few times a week,Rarely,Rarely,Not at all,Living with children,NULL
25 - 34,Google Pixel,No,NaN,NaN,NaN,NaN,NaN,NaN,lack of features,Slightly Considering,In 4 to 6 months,Â£149 or less,Not at all important,Extremely Important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Not at all important,Moderately important,Very important,Moderately important,Somewhat interested,Somewhat interested,Extremely interested,Not interested at all,Extremely interested,Extremely interested,Neutral,Once many people are using it,At least once a month,Never,At least once a week,Several times a week,At least once a month,At least once a month,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,A few times a week,Not at all,Not at all,A few times a week,A few times a week,Rarely,A few times a week,Living with significant other,NULL
25 - 34,Apple iPhone,Yes,Fitbit,2019,ÃÂ£149 or less,Android,Neither satisfied nor dissatisfied,Daily,lack of customization,Strongly Considering,In 2 to 3 months,Â£250 - Â£299,Moderately important,Extremely Important,Slightly important,Extremely Important,Very important,Extremely Important,Not at all important,Slightly important,Not at all important,Very important,Very important,Extremely interested,Not interested at all,Very interested,Not interested at all,Somewhat interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Among the first people,Several times a week,At least once a week,Several times a week,Several times a week,Several times a week,Several times a month,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,A few times a week,A few times a month,Not at all,A few times a month,A few times a month,Rarely,A few times a week,Living alone but in a relationship,NULL
25 - 34,Google Pixel,No,NaN,NaN,NaN,NaN,NaN,NaN,long sync,Strongly Considering,In 2 to 3 months,Â£149 or less,Moderately important,Extremely Important,Very important,Extremely Important,Slightly important,Very important,Slightly important,Moderately important,Very important,Very important,Very important,Not interested at all,Slightly interested,Very interested,Slightly interested,Very interested,Very interested,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",Several times a week,Several times a week,Several times a week,At least once a week,Several times a month,At least once a month,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,A few times a week,Not at all,Not at all,A few times a week,A few times a week,Rarely,Everyday,Living alone,NULL
35 - 44,Google Pixel,Yes,Ticwatch,2020,ÃÂ£250 - ÃÂ£299,Android,Very satisfied,Daily,long sync,Strongly Considering,In 7 to 12 months,Â£300 - Â£349,Moderately important,Not at all important,Slightly important,Not at all important,Not at all important,Extremely Important,Slightly important,Very important,Not at all important,Slightly important,Not at all important,Not interested at all,Not interested at all,Extremely interested,Not interested at all,Slightly interested,Slightly interested,I give others advice when they are looking to buy technology or electronics products,Among the first people,Several times a month,Less often than once a month,Several times a month,Daily,Never,Less often than once a month,Somewhat disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Everyday,A few times a month,Rarely,Everyday,Rarely,Rarely,A few times a month,Living alone,NULL
25 - 34,Google Pixel,Yes,Forerunner,2018,ÃÂ£149 or less,Android,Somewhat satisfied,Daily,lack of features,Strongly Considering,In 4 to 6 months,Not sure,Moderately important,Extremely Important,Moderately important,Extremely Important,Moderately important,Moderately important,Not at all important,Moderately important,Not at all important,Moderately important,Moderately important,Very interested,Very interested,Extremely interested,Slightly interested,Very interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Once many people are using it,Several times a week,Several times a week,Daily,Several times a week,Less often than once a month,Several times a month,Strongly agree,Strongly agree,Somewhat disagree,Neutral,Somewhat disagree,Everyday,Rarely,Not at all,A few times a week,A few times a week,Rarely,Everyday,Living alone,NULL
25 - 34,Google Pixel,No,NaN,NaN,NaN,NaN,NaN,NaN,compatibility,Strongly Considering,In 2 to 3 months,Â£300 - Â£349,Very important,Very important,Not at all important,Extremely Important,Not at all important,Extremely Important,Very important,Extremely Important,Very important,Moderately important,Moderately important,Very interested,Very interested,Extremely interested,Not interested at all,Extremely interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",Never,Never,Less often than once a month,At least once a week,Never,Less often than once a month,Somewhat disagree,Somewhat agree,Neutral,Strongly disagree,Strongly disagree,A few times a week,Not at all,Not at all,A few times a week,A few times a month,Rarely,A few times a month,Living with house mates,NULL
45 - 54,Google Pixel,Yes,Withings,2019,ÃÂ£200 - ÃÂ£249,Android,Somewhat satisfied,Daily,compatibility,Strongly Considering,When the right model comes out,Â£250 - Â£299,Very important,Extremely Important,Not at all important,Extremely Important,Slightly important,Moderately important,Moderately important,Extremely Important,Slightly important,Moderately important,Moderately important,Somewhat interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Among the first people,Several times a week,Never,Several times a week,Daily,Several times a week,Less often than once a month,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Everyday,A few times a week,A few times a week,A few times a week,Not at all,Not at all,Not at all,Living with significant other,Living with children
